date,type,value,unit,model
2024-08-26 21:35:06,170,2.9000000000000004,-1,Body Smart
2024-08-26 21:35:06,226,1772.0,0,Body Smart
2024-08-26 21:35:06,6,20.329,-3,Body Smart
2024-08-26 17:15:49,1,76.842,-3,Body Smart
2024-08-26 17:15:49,5,61.35,-2,Body Smart
2024-08-26 17:15:49,8,15.48,-2,Body Smart
2024-08-26 17:15:49,76,58.28,-2,Body Smart
2024-08-26 17:15:49,77,45.14,-2,Body Smart
2024-08-26 17:15:49,88,3.06,-2,Body Smart
2024-08-26 17:15:49,170,2.8000000000000003,-1,Body Smart
2024-08-26 17:15:49,226,1782.0,0,Body Smart
2024-08-26 17:15:49,6,20.145,-3,Body Smart
2024-08-26 04:18:10,1,76.208,-3,Body Smart
2024-08-26 04:18:10,5,59.93,-2,Body Smart
2024-08-26 04:18:10,8,16.27,-2,Body Smart
2024-08-26 04:18:10,76,56.93,-2,Body Smart
2024-08-26 04:18:10,77,42.28,-2,Body Smart
2024-08-26 04:18:10,88,2.99,-2,Body Smart
2024-08-26 04:18:10,170,3.0,-1,Body Smart
2024-08-26 04:18:10,226,1740.0,0,Body Smart
2024-08-26 04:18:10,6,21.349,-3,Body Smart
2024-08-25 22:23:29,1,76.292,-3,Body Smart
2024-08-25 22:23:29,5,60.410000000000004,-2,Body Smart
2024-08-25 22:23:29,8,15.870000000000001,-2,Body Smart
2024-08-25 22:23:29,76,57.39,-2,Body Smart
2024-08-25 22:23:29,77,42.95,-2,Body Smart
2024-08-25 22:23:29,88,3.0100000000000002,-2,Body Smart
2024-08-25 22:23:29,170,2.9000000000000004,-1,Body Smart
2024-08-25 22:23:29,226,1754.0,0,Body Smart
2024-08-25 22:23:29,6,20.802,-3,Body Smart
2024-08-25 21:41:26,1,76.435,-3,Body Smart
2024-08-25 21:41:26,5,60.38,-2,Body Smart
2024-08-25 21:41:26,8,16.05,-2,Body Smart
2024-08-25 21:41:26,76,57.36,-2,Body Smart
2024-08-25 21:41:26,77,43.050000000000004,-2,Body Smart
2024-08-25 21:41:26,88,3.0100000000000002,-2,Body Smart
2024-08-25 21:41:26,170,3.0,-1,Body Smart
2024-08-25 21:41:26,226,1753.0,0,Body Smart
2024-08-25 21:41:26,6,20.998,-3,Body Smart
2024-08-25 11:40:06,1,74.834,-3,Body Smart
